Orthogroup	ath	zma
OG0000004	AT3G12840.1	Zm00001d019385_P001, Zm00001d019380_P001, Zm00001d019374_P001, Zm00001d019373_P001, Zm00001d019394_P001, Zm00001d010644_P001
OG0000007	AT4G35150.1, AT4G35160.1	Zm00001d019613_P001, Zm00001d024120_P001, Zm00001d049303_P001, Zm00001d052684_P001, Zm00001d052683_P001, Zm00001d038700_P001, Zm00001d038702_P001, Zm00001d038703_P001, Zm00001d038699_P001, Zm00001d053156_P001, Zm00001d049020_P001, Zm00001d010736_P001, Zm00001d047194_P001, Zm00001d004921_P001, Zm00001d029353_P002, Zm00001d029356_P001, Zm00001d029359_P001, Zm00001d047192_P001, Zm00001d051934_P001
OG0000008	AT1G79220.1, AT5G64950.1	Zm00001d018066_P001, Zm00001d018123_P001, Zm00001d018124_P001, Zm00001d033138_P001, Zm00001d015585_P001, Zm00001d006629_P001, Zm00001d009338_P001, Zm00001d042436_P001, Zm00001d034669_P001
OG0000011	AT2G17070.1, AT2G17043.1, AT4G35200.1, AT4G35210.1, AT2G17080.1	Zm00001d004862_P001, Zm00001d032000_P001, Zm00001d032003_P001
OG0000015	AT4G14630.1, AT5G38960.1, AT5G38910.1, AT5G38930.1, AT5G38940.2, AT5G39130.1, AT5G39160.1, AT5G39190.1, AT5G39100.1, AT5G39110.1, AT5G39120.1, AT5G39150.1, AT5G39180.1, AT3G05950.1, AT3G04200.1, AT3G04190.1, AT3G04180.1, AT3G04170.1, AT3G04150.2	Zm00001d000006_P001, Zm00001d000008_P001, Zm00001d049418_P001, Zm00001d049419_P001, Zm00001d049425_P001, Zm00001d049426_P001, Zm00001d049434_P001, Zm00001d049420_P001, Zm00001d049438_P001, Zm00001d049424_P001, Zm00001d049427_P001, Zm00001d049436_P001, Zm00001d049428_P001, Zm00001d049430_P001, Zm00001d049432_P001, Zm00001d049433_P001, Zm00001d049431_P001, Zm00001d049435_P001, Zm00001d049437_P001, Zm00001d049421_P001, Zm00001d049423_P001, Zm00001d000017_P001, Zm00001d000012_P001, Zm00001d000018_P001
OG0000016	AT1G17250.1, AT1G17240.2, AT1G72300.1	Zm00001d014557_P001, Zm00001d036534_P001, Zm00001d015298_P001, Zm00001d005908_P001, Zm00001d053867_P001
OG0000018	AT2G17670.1	Zm00001d018982_P001, Zm00001d009733_P001, Zm00001d009735_P001
OG0000021	AT1G42710.1, AT3G31402.1, AT3G29765.1, AT3G29763.1, AT1G19260.1, AT4G09660.1, AT1G41920.1, AT2G06541.1, AT3G29450.1	Zm00001d047678_P001, Zm00001d049377_P014
OG0000025	AT1G10370.1, AT1G10360.1	Zm00001d029699_P002, Zm00001d029701_P001, Zm00001d029700_P001, Zm00001d029702_P001, Zm00001d048560_P001, Zm00001d048559_P001, Zm00001d029703_P001
OG0000035	AT3G60330.4	Zm00001d027265_P007
OG0000035	AT2G24520.2, AT5G57350.1, AT2G18960.1, AT4G30190.2	Zm00001d026490_P010, Zm00001d050214_P001, Zm00001d027490_P002
